case_id,title,executed,risk_level,baseline_verdict,advanced_verdict,runtime_evidence_used,verifier_called,verification_mechanism,not_executed_reason
case-01,Downstream Latency Induces Retry Amplification Storm,True,HIGH,REVIEW_FLAGGED,PASS,True,True,Deterministic Runtime Verifier,
case-02,Severe Downstream Latency Under Increased Retries,False,HIGH,REVIEW_FLAGGED,NOT_EXECUTED,False,False,None (Not Executed),No non-empty base metrics: True; no non-empty patched metrics: True
case-03,Immediate Retries Cause Request Clustering,False,HIGH,REVIEW_FLAGGED,NOT_EXECUTED,False,False,None (Not Executed),No non-empty base metrics: True; no non-empty patched metrics: True
case-04,Aggressive Timeout Triggers Pre-mature Retries,False,HIGH,REVIEW_FLAGGED,NOT_EXECUTED,False,False,None (Not Executed),No non-empty base metrics: True; no non-empty patched metrics: True
case-05,Asynchronous Non-Critical Retries Do Not Impact Core Checkout,True,LOW,PASSED_UNCHECKED,PASS_SAFE,False,False,Static AST Risk Assessment,
case-06,Removal of Circuit Breaker Causes Cascading Failure,False,HIGH,REVIEW_FLAGGED,NOT_EXECUTED,False,False,None (Not Executed),No non-empty base metrics: True; no non-empty patched metrics: True
case-07,Multi-Tier Amplification Across Gateway and Business Services,False,HIGH,REVIEW_FLAGGED,NOT_EXECUTED,False,False,None (Not Executed),No non-empty base metrics: True; no non-empty patched metrics: True
case-08,Retries Exhaust HTTP Client Connection Pool,False,HIGH,REVIEW_FLAGGED,NOT_EXECUTED,False,False,None (Not Executed),No non-empty base metrics: True; no non-empty patched metrics: True
case-09,Traffic Burst Triggers Cascading Amplification Wave,False,HIGH,REVIEW_FLAGGED,NOT_EXECUTED,False,False,None (Not Executed),No non-empty base metrics: True; no non-empty patched metrics: True
case-10,Compound Failure: High Latency and Concurrency Wave Induce Retry Cascade,True,HIGH,REVIEW_FLAGGED,PASS,True,True,Deterministic Runtime Verifier,
